# conda environments:
#
base                     /home/zwa281/miniconda
env                      /home/zwa281/miniconda/envs/env
myenv                 *  /home/zwa281/miniconda/envs/myenv

True
8
0
EPOCH 001: test_acc=0.6277, disc_loss=0.6914, cls_loss=2.4312, disc_acc=0.4576
EPOCH 002: test_acc=0.4377, disc_loss=0.6928, cls_loss=0.9930, disc_acc=0.5593
EPOCH 003: test_acc=0.4528, disc_loss=0.6892, cls_loss=1.0427, disc_acc=0.4915
EPOCH 004: test_acc=0.5233, disc_loss=0.6816, cls_loss=0.9195, disc_acc=0.5593
EPOCH 005: test_acc=0.5333, disc_loss=0.6750, cls_loss=0.7082, disc_acc=0.6949
EPOCH 006: test_acc=0.5585, disc_loss=0.6691, cls_loss=0.6811, disc_acc=0.6102
EPOCH 007: test_acc=0.6201, disc_loss=0.6600, cls_loss=0.5394, disc_acc=0.7119
EPOCH 008: test_acc=0.5736, disc_loss=0.6419, cls_loss=0.5055, disc_acc=0.6780
EPOCH 009: test_acc=0.5107, disc_loss=0.6097, cls_loss=0.4848, disc_acc=0.6780
EPOCH 010: test_acc=0.6013, disc_loss=0.5984, cls_loss=0.3547, disc_acc=0.7797
EPOCH 011: test_acc=0.5497, disc_loss=0.5626, cls_loss=0.2700, disc_acc=0.8136
EPOCH 012: test_acc=0.5799, disc_loss=0.5264, cls_loss=0.3064, disc_acc=0.7966
EPOCH 013: test_acc=0.5635, disc_loss=0.5060, cls_loss=0.2711, disc_acc=0.7797
EPOCH 014: test_acc=0.5849, disc_loss=0.4714, cls_loss=0.2504, disc_acc=0.7458
EPOCH 015: test_acc=0.6038, disc_loss=0.4600, cls_loss=0.2419, disc_acc=0.7797
EPOCH 016: test_acc=0.5597, disc_loss=0.4247, cls_loss=0.2073, disc_acc=0.8305
EPOCH 017: test_acc=0.5836, disc_loss=0.4384, cls_loss=0.2207, disc_acc=0.7966
EPOCH 018: test_acc=0.6189, disc_loss=0.3858, cls_loss=0.1702, disc_acc=0.8305
EPOCH 019: test_acc=0.6126, disc_loss=0.3693, cls_loss=0.1447, disc_acc=0.7966
